ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4533
Date: 5/9/2024
Start time: 2:37:37 PM
Stop time: 2:37:37 PM
Overruns:                                                            
Baudrate: 500 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:30:32.177","111","Std","","28 00 00 F2 67 D8 01 78"
"00:30:32.177","111","Std","","30 02 88 02 58 D3 00 03"
"00:30:32.178","111","Std","","38 FE D4 D1 DC 00 A4 FE"
"00:30:32.178","111","Std","","20 D8 D1 D4 00 A4 FE BC"
"00:30:32.178","111","Std","","4C D1 E0 00 BC 00 00 00"
"00:30:32.186","185","Std","","00 0C 00 C0 85 00 00 F2"
"00:30:32.186","212","Std","","00 C7 00 24 C8 E6 01 03"
"00:30:32.186","212","Std","","28 00 00 A1 63 00 00 00"
"00:30:32.187","185","Std","","28 5F 00 00 0F 42 40 00"
"00:30:32.187","212","Std","","30 03 00 00 63 00 00 00"
"00:30:32.187","183","Std","","00 FC 00 3B 03 B2 C6 2C"
"00:30:32.187","212","Std","","38 7E F1 00 00 36 B5 DF"
"00:30:32.188","180","Std","","00 FC 00 18 03 B2 C6 2C"
"00:30:32.188","212","Std","","20 A2 F3 56 00 00 00 00"
"00:30:32.188","101","Std","","66 06 00 30 70 00 00 00"
"00:30:32.188","180","Std","","28 00 00 00 80 00 00 00"
"00:30:32.189","212","Std","","4C 03 B3 1A 42 00 00 00"
"00:30:32.189","180","Std","","30 00 00 00 00 00 00 00"
"00:30:32.189","180","Std","","5E 00 00 00 08 BF 82 00"
"00:30:32.189","183","Std","","28 00 00 00 00 00 00 00"
"00:30:32.190","183","Std","","30 00 00 00 00 00 00 00"
"00:30:32.190","183","Std","","38 00 00 00 00 00 00 00"
"00:30:32.190","183","Std","","20 00 00 00 00 00 00 00"
"00:30:32.190","183","Std","","28 00 00 00 00 00 00 00"
"00:30:32.191","183","Std","","30 00 00 00 00 00 00 00"
"00:30:32.191","183","Std","","38 00 00 00 00 00 00 00"
"00:30:32.191","183","Std","","46 00 00 00 07 97 6D 00"
"00:30:32.191","185","Std","","30 00 00 00 00 00 00 00"
"00:30:32.192","211","Std","","00 C7 00 24 C8 E6 01 03"
"00:30:32.192","185","Std","","38 00 00 75 30 00 00 0F"
"00:30:32.192","211","Std","","28 00 00 A1 63 00 00 00"
"00:30:32.192","185","Std","","20 42 40 00 00 00 00 00"
"00:30:32.193","211","Std","","30 03 00 00 63 00 00 00"
"00:30:32.193","185","Std","","28 00 00 00 00 00 75 30"
"00:30:32.193","211","Std","","38 7E F1 00 00 36 B5 DF"
"00:30:32.193","185","Std","","30 00 00 0D 39 6A 00 00"
"00:30:32.194","211","Std","","20 A2 F3 56 00 00 00 00"
"00:30:32.194","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.194","211","Std","","4C 03 B3 2F AF 00 00 00"
"00:30:32.194","185","Std","","20 06 C6 60 00 00 00 00"
"00:30:32.195","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.195","185","Std","","30 00 00 00 00 00 00 40"
"00:30:32.195","185","Std","","38 00 00 00 00 FF FF 8A"
"00:30:32.195","112","Std","","00 FB 00 24 FB 00 00 00"
"00:30:32.196","185","Std","","20 D0 00 00 00 00 00 00"
"00:30:32.196","112","Std","","28 00 00 F2 77 D8 01 78"
"00:30:32.196","185","Std","","28 75 30 00 00 00 00 00"
"00:30:32.196","112","Std","","30 02 88 02 58 DA FE 03"
"00:30:32.197","185","Std","","30 00 00 00 00 00 00 00"
"00:30:32.197","112","Std","","38 FE BC CE B4 01 64 FE"
"00:30:32.197","185","Std","","38 00 00 00 00 00 20 00"
"00:30:32.197","112","Std","","20 D8 CE BC 01 68 FE D0"
"00:30:32.198","185","Std","","20 00 00 00 00 00 00 00"
"00:30:32.198","112","Std","","4C CE D8 01 44 00 00 00"
"00:30:32.198","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.198","185","Std","","30 00 00 00 0D C9 00 00"
"00:30:32.199","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.199","185","Std","","20 00 0E 94 00 00 00 00"
"00:30:32.199","287","Std","","00 06 00 26 07 26 00 22"
"00:30:32.199","185","Std","","28 00 00 00 00 00 00 02"
"00:30:32.200","287","Std","","28 00 A1 FF FF FF FF FF"
"00:30:32.200","185","Std","","30 00 03 02 10 D6 00 00"
"00:30:32.200","287","Std","","30 FF 35 30 35 31 33 46"
"00:30:32.200","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.201","287","Std","","38 63 0F 63 00 FF FF FF"
"00:30:32.201","185","Std","","20 00 00 00 00 00 00 00"
"00:30:32.201","287","Std","","20 FF 30 30 44 45 FF FF"
"00:30:32.201","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.201","287","Std","","4E FF FF 36 36 35 41 00"
"00:30:32.202","185","Std","","30 00 03 DC 00 00 00 00"
"00:30:32.202","185","Std","","5E 00 00 00 00 00 00 00"
"00:30:32.202","18F","Std","","00 F9 00 20 02 00 00 F2"
"00:30:32.203","18F","Std","","28 5F 00 00 00 00 00 00"
"00:30:32.203","18F","Std","","30 00 00 00 C0 00 00 00"
"00:30:32.203","18F","Std","","38 00 00 00 00 00 00 00"
"00:30:32.203","18F","Std","","47 00 00 00 00 00 00 00"
"00:30:32.207","111","Std","","00 FE 00 24 FE 00 00 00"
"00:30:32.207","111","Std","","28 00 00 F2 84 D8 01 78"
"00:30:32.208","111","Std","","30 02 88 02 58 EF 01 03"
"00:30:32.208","111","Std","","38 FE C8 D1 F0 00 88 FE"
"00:30:32.208","111","Std","","20 D8 D1 E8 00 98 FE D8"
"00:30:32.208","111","Std","","4C D1 DC 00 AC 00 00 00"
"00:30:32.220","371","Std","","66 52 53 65 00 00 F1 6E"
"00:30:32.220","372","Std","","66 52 53 65 00 00 F1 6E"
"00:30:32.224","300","Std","","00 FA 00 18 30 A6 00 89"
"00:30:32.224","300","Std","","28 03 00 E3 00 20 2A 18"
"00:30:32.225","300","Std","","30 00 04 00 00 00 00 00"
"00:30:32.225","300","Std","","5E 00 00 CC 80 B4 17 00"
"00:30:32.225","3","Std","","61 52 00 00 00 00 00 00"
"00:30:32.225","300","Std","","00 FB 00 1E 30 A7 00 B9"
"00:30:32.226","300","Std","","28 7D 05 C8 7E 90 40 60"
"00:30:32.226","300","Std","","30 CC 78 A6 AB BD 70 12"
"00:30:32.226","112","Std","","00 FC 00 24 FC 00 00 00"
"00:30:32.226","300","Std","","38 20 00 00 00 00 01 D7"
"00:30:32.227","112","Std","","28 00 00 F2 95 D8 01 78"
"00:30:32.227","300","Std","","45 7F 20 00 D9 D6 00 00"
"00:30:32.227","112","Std","","30 02 88 02 58 4C FF 03"
"00:30:32.227","184","Std","","00 B6 00 0A 76 00 FF FC"
"00:30:32.227","112","Std","","38 FE D0 CE D0 01 68 FE"
"00:30:32.228","100","Std","","00 57 00 0D C0 00 00 00"
"00:30:32.228","112","Std","","20 D4 CE B0 01 4C FE C4"
"00:30:32.228","100","Std","","28 00 00 00 00 00 00 09"
"00:30:32.228","112","Std","","4C CE C8 01 7C 00 00 00"
"00:30:32.229","100","Std","","52 6C 06 00 00 00 00 00"
"00:30:32.229","184","Std","","4E 1F D0 FF FC 1F D0 00"
"00:30:32.229","184","Std","","00 B7 00 16 75 EE 00 7C"
"00:30:32.229","184","Std","","28 E8 00 00 00 00 00 00"
"00:30:32.230","184","Std","","30 00 00 00 00 00 00 00"
"00:30:32.230","184","Std","","5C 00 00 00 00 00 00 00"
"00:30:32.230","300","Std","","00 FC 00 07 20 54 00 00"
"00:30:32.230","300","Std","","4B 00 B7 7E 00 00 00 00"
"00:30:32.233","205","Std","","00 36 00 31 37 78 02 99"
"00:30:32.233","205","Std","","28 09 01 00 20 11 00 38"
"00:30:32.233","205","Std","","30 2D CF 9C 74 08 00 22"
"00:30:32.234","205","Std","","38 00 11 C0 08 80 02 B0"
"00:30:32.234","205","Std","","20 06 73 FF FF FF FF FF"
"00:30:32.234","205","Std","","28 FF C8 00 00 1F 6E F1"
"00:30:32.234","205","Std","","30 00 00 C6 A7 51 8B 3E"
"00:30:32.235","205","Std","","5B 38 99 F2 00 00 00 00"
"00:30:32.235","206","Std","","65 53 54 67 00 10 B3 00"
"00:30:32.235","207","Std","","65 52 53 67 02 B5 61 00"
"00:30:32.235","213","Std","","64 51 51 F0 F0 F0 00 00"
"00:30:32.236","18F","Std","","00 FA 00 20 02 00 00 F2"
"00:30:32.236","18F","Std","","28 91 00 00 00 00 00 00"
"00:30:32.236","18F","Std","","30 00 00 00 C0 00 00 00"
"00:30:32.237","18F","Std","","38 00 00 00 00 00 00 00"
"00:30:32.237","18F","Std","","47 00 00 00 00 00 00 04"
"00:30:32.239","111","Std","","00 FF 00 24 FF 00 00 00"
"00:30:32.239","111","Std","","28 00 00 F2 A2 D8 01 78"
"00:30:32.239","111","Std","","30 02 88 02 58 2F 02 03"
"00:30:32.239","111","Std","","38 FE C8 D1 F0 00 9C FE"
"00:30:32.240","111","Std","","20 C0 D1 D4 00 8C FE D4"
"00:30:32.240","111","Std","","4C D1 DC 00 AC 00 00 00"
"00:30:32.255","112","Std","","00 FD 00 24 FD 00 00 00"
"00:30:32.255","112","Std","","28 00 00 F2 B3 D8 01 78"
"00:30:32.256","112","Std","","30 02 88 02 58 3C 00 03"
"00:30:32.256","112","Std","","38 FE D8 CE C0 01 74 FE"
"00:30:32.256","112","Std","","20 C4 CE BC 01 88 FE C0"
"00:30:32.256","112","Std","","4C CE B4 01 70 00 00 00"
"00:30:32.267","111","Std","","00 00 00 24 00 00 00 00"
"00:30:32.268","111","Std","","28 00 00 F2 C0 D8 01 78"
"00:30:32.268","301","Std","","66 E5 30 E4 00 00 50 18"
"00:30:32.268","111","Std","","30 02 88 02 58 91 03 03"
"00:30:32.268","111","Std","","38 FE C8 D1 F0 00 AC FE"
"00:30:32.269","111","Std","","20 CC D1 EC 00 94 FE C8"
"00:30:32.269","111","Std","","4C D1 FC 00 AC 00 00 00"
"00:30:32.270","320","Std","","66 E3 E4 A2 83 78 40 02"
"00:30:32.284","112","Std","","00 FE 00 24 FE 00 00 00"
"00:30:32.284","112","Std","","28 00 00 F2 D1 D8 01 78"
"00:30:32.284","112","Std","","30 02 88 02 58 5F 01 03"
"00:30:32.285","112","Std","","38 FE C4 CE D0 01 64 FE"
"00:30:32.285","112","Std","","20 B8 CE A8 01 64 FE CC"
"00:30:32.285","112","Std","","4C CE B0 01 74 00 00 00"
"00:30:32.286","185","Std","","00 0D 00 C0 85 00 00 F2"
"00:30:32.286","185","Std","","28 C3 00 00 0F 42 40 00"
"00:30:32.286","185","Std","","30 00 00 00 00 00 00 00"
"00:30:32.286","183","Std","","00 FD 00 3B 03 B4 4C AF"
"00:30:32.287","183","Std","","28 00 00 00 00 00 00 00"
"00:30:32.287","180","Std","","00 FD 00 18 03 B4 4C AF"
"00:30:32.287","180","Std","","28 00 00 00 80 00 00 00"
"00:30:32.288","180","Std","","30 00 00 00 00 00 00 00"
"00:30:32.288","180","Std","","5E 00 00 00 08 3F 19 00"
"00:30:32.288","101","Std","","66 07 00 30 71 00 00 00"
"00:30:32.288","183","Std","","30 00 00 00 00 00 00 00"
"00:30:32.289","183","Std","","38 00 00 00 00 00 00 00"
"00:30:32.289","183","Std","","20 00 00 00 00 00 00 00"
"00:30:32.289","183","Std","","28 00 00 00 00 00 00 00"
"00:30:32.289","183","Std","","30 00 00 00 00 00 00 00"
"00:30:32.290","183","Std","","38 00 00 00 00 00 00 00"
"00:30:32.290","183","Std","","46 00 00 00 07 F6 CC 00"
"00:30:32.290","185","Std","","38 00 00 75 30 00 00 0F"
"00:30:32.290","185","Std","","20 42 40 00 00 00 00 00"
"00:30:32.291","185","Std","","28 00 00 00 00 00 75 30"
"00:30:32.291","185","Std","","30 00 00 0D 39 6A 00 00"
"00:30:32.291","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.291","185","Std","","20 06 C6 60 00 00 00 00"
"00:30:32.292","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.292","185","Std","","30 00 00 00 00 00 00 40"
"00:30:32.292","185","Std","","38 00 00 00 00 FF FF 8A"
"00:30:32.292","185","Std","","20 D0 00 00 00 00 00 00"
"00:30:32.293","185","Std","","28 75 30 00 00 00 00 00"
"00:30:32.293","185","Std","","30 00 00 00 00 00 00 00"
"00:30:32.293","185","Std","","38 00 00 00 00 00 20 00"
"00:30:32.294","185","Std","","20 00 00 00 00 00 00 00"
"00:30:32.294","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.294","185","Std","","30 00 00 00 0D C9 00 00"
"00:30:32.294","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.295","185","Std","","20 00 0E AA 00 00 00 00"
"00:30:32.295","185","Std","","28 00 00 00 00 00 00 02"
"00:30:32.295","185","Std","","30 00 03 02 10 09 00 00"
"00:30:32.295","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.296","185","Std","","20 00 00 00 00 00 00 00"
"00:30:32.296","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.296","185","Std","","30 00 03 DC 00 00 00 00"
"00:30:32.296","185","Std","","5E 00 00 00 00 00 00 00"
"00:30:32.297","18F","Std","","00 FB 00 20 02 00 00 F2"
"00:30:32.297","111","Std","","00 01 00 24 01 00 00 00"
"00:30:32.297","18F","Std","","28 C3 00 00 00 00 00 00"
"00:30:32.297","111","Std","","28 00 00 F2 DE D8 01 78"
"00:30:32.298","18F","Std","","30 00 00 00 C0 00 00 00"
"00:30:32.298","111","Std","","30 02 88 02 58 9D 04 03"
"00:30:32.298","18F","Std","","38 00 00 00 00 00 00 00"
"00:30:32.298","111","Std","","38 FE C8 D1 F0 00 A4 FE"
"00:30:32.299","18F","Std","","47 00 00 00 00 00 00 00"
"00:30:32.299","111","Std","","20 B8 D1 F0 00 A4 FE CC"
"00:30:32.299","111","Std","","4C D1 E8 00 9C 00 00 00"
"00:30:32.300","287","Std","","00 07 00 26 08 26 00 22"
"00:30:32.301","287","Std","","28 00 A1 FF FF FF FF FF"
"00:30:32.301","287","Std","","30 FF 35 30 35 31 33 46"
"00:30:32.301","287","Std","","38 63 0F 63 00 FF FF FF"
"00:30:32.301","287","Std","","20 FF 30 30 44 45 FF FF"
"00:30:32.301","287","Std","","4E FF FF 36 36 35 41 00"
"00:30:32.315","112","Std","","00 FF 00 24 FF 00 00 00"
"00:30:32.315","112","Std","","28 00 00 F2 EF D8 01 78"
"00:30:32.316","112","Std","","30 02 88 02 58 66 02 03"
"00:30:32.316","112","Std","","38 FE D0 CE B0 01 5C FE"
"00:30:32.316","112","Std","","20 D0 CE C8 01 78 FE B8"
"00:30:32.316","112","Std","","4C CE C0 01 74 00 00 00"
"00:30:32.317","208","Std","","00 56 00 0B 55 CB 3C FF"
"00:30:32.317","208","Std","","4F FE FF FF FF FF FF 00"
"00:30:32.328","111","Std","","00 02 00 24 02 00 00 00"
"00:30:32.328","111","Std","","28 00 00 F2 FC D8 01 78"
"00:30:32.328","111","Std","","30 02 88 02 58 DF 05 03"
"00:30:32.328","111","Std","","38 FE BC D2 00 00 B4 FE"
"00:30:32.329","111","Std","","20 CC D1 F8 00 94 FE C8"
